state,X-axis,Y-axis
Kerala,-156.0,-299.0
Tamil Nadu,-95.0,-276.0
Karnataka,-196.0,-209.0
Andhra Pradesh,-96.0,-183.0
Telangana,-91.0,-121.0
Goa,-204.0,-168.0
Maharashtra,-198.0,-79.0
Chhattisgarh,-22.0,-18.0
Odisha,26.0,-58.0
Gujarat,-270.0,14.0
Madhya Pradesh,-146.0,26.0
Jharkhand,52.0,43.0
West Bengal,101.0,26.0
Rajasthan,-235.0,118.0
Uttar Pradesh,-73.0,130.0
Bihar,51.0,82.0
Sikkim,116.0,139.0
Assam,188.0,112.0
Arunachal Pradesh,235.0,158.0
Nagaland,272.0,114.0
Manipur,260.0,79.0
Mizoram,242.0,41.0
Tripura,180.0,49.0
Meghalaya,178.0,93.0
Delhi,-105.0,147.0
Haryana,-139.0,171.0
Punjab,-165.0,210.0
Himachal Pradesh,-122.0,241.0
Uttarakhand,-80.0,201.0
Jammu & Kashmir(UT),-164.0,305.0
